date,ID,Label,Area,Mean,Mode,Min,Max,IntDen,Median,RawIntDen,type,line,notes
12_21_17,219,SUM_N2_daf7Cy5_27_tube2-07.czi,0.325,1064.645,1060.98,1044,1090,345.943,1063,33004,background,,
12_21_17,220,SUM_N2_daf7Cy5_27_tube2-08.czi,6.53,1050.931,1051.059,1009,1083,6862.788,1051,654730,cell,,
12_21_17,221,SUM_N2_daf7Cy5_27_tube2-08.czi,0.335,1015.469,1007.988,995,1033,340.608,1013.5,32495,background,,
12_21_17,222,SUM_N2_daf7Cy5_27_tube2-09.czi,5.88,1431.488,1505.383,1253,1617,8417.614,1435,803065,cell,,
12_21_17,223,SUM_N2_daf7Cy5_27_tube2-09.czi,0.503,1019.333,1026.979,998,1035,512.856,1020,48928,background,,
12_21_17,224,SUM_N2_daf7Cy5_27_tube2-10.czi,6.142,1533.686,1530.934,1259,1805,9420.466,1531,898740,cell,,
12_21_17,225,SUM_N2_daf7Cy5_27_tube2-10.czi,0.273,1047.462,1037.02,1027,1081,285.463,1048.5,27234,background,,
12_21_17,226,SUM_N2_daf7Cy5_27_tube2-11.czi,8.302,1362.715,1344.271,1161,1544,11312.756,1362,1079270,cell,,
12_21_17,227,SUM_N2_daf7Cy5_27_tube2-11.czi,0.545,1059.327,1064.053,1034,1103,577.393,1060,55085,background,,
12_21_17,228,SUM_N2_daf7Cy5_27_tube2-12.czi,8.061,1301.135,1253.857,1112,1593,10487.866,1291,1000573,cell,,
12_21_17,229,SUM_N2_daf7Cy5_27_tube2-12.czi,1.069,1005.118,998.021,978,1029,1074.621,1005,102522,background,,
12_21_17,230,SUM_N2_daf7Cy5_27_tube2-13.czi,7.557,1729.434,1756.57,1425,1941,13070.061,1749,1246922,cell,,
12_21_17,231,SUM_N2_daf7Cy5_27_tube2-13.czi,1.122,1097.963,1100.924,1072,1131,1231.43,1098,117482,background,,
12_21_17,232,SUM_N2_daf7Cy5_27_tube2.czi,7.411,1652.117,1794.184,1231,2021,12243.304,1665,1168047,cell,,
12_21_17,233,SUM_N2_daf7Cy5_27_tube2.czi,1.143,1045.596,1043.998,1013,1072,1194.618,1045,113970,background,,
12_21_17,190,SUM_N2_daf7Cy5_27_tube1-02.czi,5.723,1442.333,1413.057,1183,1736,8254.611,1438,787514,cell,,
12_21_17,191,SUM_N2_daf7Cy5_27_tube1-02.czi,0.482,1087.543,1092.041,1064,1113,524.376,1089.5,50027,background,,
12_21_17,192,SUM_N2_daf7Cy5_27_tube1-03.czi,6.625,1094.62,1084.861,1027,1152,7251.35,1094,691800,cell,,
12_21_17,193,SUM_N2_daf7Cy5_27_tube1-03.czi,0.189,1011.833,998.066,998,1032,190.906,1011.5,18213,background,,
12_21_17,194,SUM_N2_daf7Cy5_27_tube1-04.czi,6.949,1551.81,1638.074,1263,1865,10784.261,1557,1028850,cell,,
12_21_17,195,SUM_N2_daf7Cy5_27_tube1-04.czi,0.388,1079.216,1075.949,1063,1097,418.551,1076,39931,background,,
12_21_17,196,SUM_N2_daf7Cy5_27_tube1-06.czi,5.513,1604.494,1580.875,1398,1846,8846.312,1604,843964,cell,,
12_21_17,197,SUM_N2_daf7Cy5_27_tube1-06.czi,0.482,1203.196,1202.098,1179,1233,580.139,1202,55347,background,,
12_21_17,198,SUM_N2_daf7Cy5_27_tube1-07.czi,4.968,1206.534,1243.828,1073,1305,5994.544,1219,571897,cell,,
12_21_17,199,SUM_N2_daf7Cy5_27_tube1-07.czi,0.398,1003.579,1005.982,989,1026,399.736,1003,38136,background,,
12_21_17,200,SUM_N2_daf7Cy5_27_tube1-08.czi,5.933,1205,1188.48,1067,1341,7148.943,1200,682030,cell,,
12_21_17,201,SUM_N2_daf7Cy5_27_tube1-08.czi,0.545,1023.923,1028.969,997,1045,558.096,1024.5,53244,background,,
12_21_17,202,SUM_N2_daf7Cy5_27_tube1-09.czi,7.557,1316.011,1333.504,1166,1440,9945.649,1323,948844,cell,,
12_21_17,203,SUM_N2_daf7Cy5_27_tube1-09.czi,1.446,1026.471,1018.027,1005,1051,1484.787,1026,141653,background,,
12_21_17,204,SUM_N2_daf7Cy5_27_tube1-10.czi,7.767,1276.575,1281.193,1182,1391,9915.231,1276,945942,cell,,
12_21_17,205,SUM_N2_daf7Cy5_27_tube1-10.czi,0.577,1087.109,1087.924,1059,1118,626.721,1088,59791,background,,
12_21_17,206,SUM_N2_daf7Cy5_27_tube1.czi,10.388,1560.828,1480.609,1302,1870,16213.141,1548,1546781,cell,,
12_21_17,207,SUM_N2_daf7Cy5_27_tube1.czi,2.159,1146.17,1144.113,1110,1192,2474.882,1147,236111,background,,
